                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.3135,                 1.1963,                 1.5187,                0.61353,                0.59374,                0.62288,                0.38388,                 1.3559,                 1.2078,                 1.5934,             0.00096915,             0.00096915,             0.00096915
                     76,                 1.3289,                 1.1935,                 1.5182,                0.59299,                0.60958,                0.61928,                0.37862,                 1.3605,                 1.2101,                 1.6003,             0.00095972,             0.00095972,             0.00095972
                     77,                 1.2985,                 1.1648,                 1.5027,                0.60386,                0.61349,                0.63496,                0.38324,                 1.4089,                 1.2052,                 1.6281,             0.00095029,             0.00095029,             0.00095029
                     78,                  1.302,                 1.1688,                 1.5018,                 0.6033,                0.60354,                0.61867,                0.38174,                 1.3639,                 1.2315,                 1.5908,             0.00094085,             0.00094085,             0.00094085
                     79,                  1.319,                 1.1787,                 1.5243,                0.56111,                0.60641,                0.58937,                 0.3556,                 1.3814,                 1.2642,                 1.6146,             0.00093142,             0.00093142,             0.00093142
                     80,                 1.2803,                 1.1562,                 1.4954,                 0.6138,                 0.5962,                0.63247,                0.38696,                   1.37,                 1.1909,                 1.6093,             0.00092199,             0.00092199,             0.00092199
                     81,                 1.2921,                 1.1559,                  1.502,                 0.6017,                0.61483,                0.62672,                0.38788,                 1.3539,                 1.2056,                 1.5874,             0.00091256,             0.00091256,             0.00091256
                     82,                 1.2955,                 1.1498,                 1.5012,                0.60919,                0.59828,                0.62561,                0.38702,                  1.372,                 1.2052,                 1.6077,             0.00090313,             0.00090313,             0.00090313
                     83,                 1.2843,                 1.1476,                 1.4876,                0.62033,                0.61127,                0.63749,                0.39058,                 1.3779,                 1.1859,                  1.606,              0.0008937,              0.0008937,              0.0008937
                     84,                 1.2825,                  1.135,                 1.4954,                0.61608,                0.62581,                0.63848,                0.39234,                 1.3677,                 1.1794,                 1.5985,             0.00088427,             0.00088427,             0.00088427
                     85,                 1.2817,                 1.1285,                 1.4893,                0.60727,                0.59765,                0.62566,                0.38198,                 1.3698,                 1.1973,                 1.6015,             0.00087484,             0.00087484,             0.00087484
                     86,                 1.2968,                 1.1362,                 1.4872,                0.61906,                0.60291,                0.61131,                0.37318,                 1.3838,                 1.2249,                 1.6059,             0.00086541,             0.00086541,             0.00086541
                     87,                  1.281,                 1.1383,                 1.4783,                0.60155,                0.59786,                0.61863,                0.38395,                 1.3616,                 1.2369,                 1.5929,             0.00085598,             0.00085598,             0.00085598
                     88,                 1.2961,                  1.141,                 1.4939,                0.62435,                0.60045,                0.63252,                 0.3906,                  1.353,                 1.1841,                 1.5966,             0.00084655,             0.00084655,             0.00084655
                     89,                 1.2718,                 1.1247,                 1.4782,                0.60694,                0.62031,                0.63425,                0.39296,                 1.3614,                   1.18,                 1.5897,             0.00083712,             0.00083712,             0.00083712
                     90,                 1.2669,                 1.1044,                 1.4823,                0.58437,                0.62901,                0.62239,                0.38322,                 1.3532,                 1.1973,                  1.589,             0.00082769,             0.00082769,             0.00082769
                     91,                  1.265,                 1.1172,                 1.4796,                0.60896,                0.60846,                0.62725,                 0.3865,                 1.3674,                 1.2033,                 1.5882,             0.00081826,             0.00081826,             0.00081826
                     92,                 1.2506,                 1.1014,                 1.4723,                0.62183,                0.62394,                 0.6463,                0.39587,                 1.3743,                 1.1572,                 1.6032,             0.00080883,             0.00080883,             0.00080883
                     93,                 1.2635,                  1.114,                 1.4732,                0.60933,                0.60844,                0.63306,                0.39331,                 1.3411,                 1.1713,                 1.5823,              0.0007994,              0.0007994,              0.0007994
                     94,                 1.2693,                 1.0941,                 1.4674,                0.62123,                0.61061,                0.64339,                0.39179,                 1.3842,                 1.1743,                   1.61,             0.00078997,             0.00078997,             0.00078997
                     95,                  1.251,                 1.0857,                 1.4693,                0.60334,                0.61726,                0.63458,                0.38802,                 1.3727,                  1.182,                 1.5981,             0.00078054,             0.00078054,             0.00078054
                     96,                 1.2362,                 1.0732,                 1.4567,                0.62566,                0.62297,                0.65347,                0.40308,                 1.3595,                 1.1388,                 1.5991,             0.00077111,             0.00077111,             0.00077111
                     97,                  1.246,                 1.0758,                 1.4712,                0.61255,                0.62742,                0.64757,                0.40345,                 1.3596,                 1.1604,                 1.5941,             0.00076168,             0.00076168,             0.00076168
                     98,                 1.2407,                 1.0701,                  1.454,                0.63412,                0.61657,                0.64484,                0.40028,                 1.3493,                 1.1557,                 1.5943,             0.00075225,             0.00075225,             0.00075225
                     99,                   1.24,                 1.0811,                 1.4651,                 0.6438,                0.61199,                0.65226,                 0.4005,                 1.3783,                 1.1509,                 1.6043,             0.00074282,             0.00074282,             0.00074282
                    100,                 1.2377,                 1.0804,                 1.4612,                0.61321,                0.61645,                0.64012,                 0.3969,                 1.3552,                  1.165,                 1.5871,             0.00073338,             0.00073338,             0.00073338
                    101,                 1.2271,                 1.0472,                 1.4522,                0.62713,                0.61357,                0.64733,                0.39892,                 1.3681,                 1.1566,                 1.6159,             0.00072395,             0.00072395,             0.00072395
                    102,                 1.2339,                 1.0442,                 1.4588,                 0.6308,                0.61642,                0.64527,                0.39991,                 1.3601,                 1.1549,                 1.5938,             0.00071452,             0.00071452,             0.00071452
                    103,                 1.2322,                 1.0419,                 1.4384,                0.62436,                0.62439,                 0.6435,                0.39975,                 1.3608,                 1.1615,                 1.5995,             0.00070509,             0.00070509,             0.00070509
                    104,                 1.2093,                 1.0412,                 1.4365,                0.62878,                0.62056,                0.64977,                0.40133,                 1.3617,                 1.1455,                 1.6061,             0.00069566,             0.00069566,             0.00069566
                    105,                 1.1931,                 1.0459,                 1.4386,                0.61598,                0.62127,                0.63444,                0.38955,                 1.3703,                 1.1857,                 1.5994,             0.00068623,             0.00068623,             0.00068623
                    106,                 1.2224,                 1.0419,                 1.4436,                0.61778,                0.62634,                 0.6491,                0.40202,                 1.3569,                 1.1473,                 1.5983,              0.0006768,              0.0006768,              0.0006768
                    107,                 1.2196,                  1.025,                 1.4393,                0.62132,                0.60828,                0.64108,                0.39341,                 1.3838,                   1.17,                 1.6131,             0.00066737,             0.00066737,             0.00066737
                    108,                 1.2072,                  1.024,                 1.4419,                0.61442,                0.61882,                0.64008,                0.39664,                 1.3639,                 1.1627,                 1.5973,             0.00065794,             0.00065794,             0.00065794
                    109,                 1.1982,                  1.012,                 1.4387,                0.62758,                0.61384,                0.64533,                0.39992,                 1.3588,                 1.1536,                 1.5876,             0.00064851,             0.00064851,             0.00064851
                    110,                 1.1985,                 1.0206,                 1.4318,                0.62937,                0.60699,                0.64622,                0.40062,                  1.359,                 1.1532,                 1.6023,             0.00063908,             0.00063908,             0.00063908
                    111,                 1.1945,                 1.0173,                 1.4237,                0.62101,                0.63047,                0.64681,                0.39678,                 1.3669,                  1.159,                 1.6023,             0.00062965,             0.00062965,             0.00062965
                    112,                 1.1966,                 1.0159,                 1.4334,                0.59549,                0.62176,                0.62626,                 0.3819,                 1.3861,                 1.2061,                 1.6082,             0.00062022,             0.00062022,             0.00062022
                    113,                 1.2011,                   1.01,                 1.4234,                 0.6285,                0.61807,                0.64313,                0.39766,                 1.3655,                 1.1762,                 1.6125,             0.00061079,             0.00061079,             0.00061079
                    114,                 1.1988,                 1.0089,                 1.4246,                0.61471,                0.62931,                0.64458,                0.39816,                  1.369,                 1.1867,                   1.61,             0.00060136,             0.00060136,             0.00060136
                    115,                 1.1622,                0.97757,                  1.409,                0.61848,                0.63646,                0.65039,                0.40566,                 1.3478,                 1.1448,                 1.5963,             0.00059193,             0.00059193,             0.00059193
                    116,                  1.183,                0.99143,                 1.4149,                0.62889,                0.63286,                0.64805,                0.40089,                 1.3604,                 1.1398,                  1.598,              0.0005825,              0.0005825,              0.0005825
                    117,                 1.1807,                0.99462,                 1.4153,                0.62574,                 0.6148,                0.64372,                0.39662,                 1.3696,                 1.1562,                 1.6107,             0.00057307,             0.00057307,             0.00057307
                    118,                 1.1656,                0.97621,                 1.4118,                0.60424,                 0.6397,                0.64833,                0.39801,                 1.3707,                 1.1547,                 1.6184,             0.00056364,             0.00056364,             0.00056364
